"","Gruppkontroll","Grupp","ID","acr","Age_years","Gender","anger_perc","contempt_perc","disgust_perc","fear_perc","joy_perc","sadness_perc","surprise_perc","TOTALTRÄFF","PANASPOSITIV","PANASNEGATIV","POSIGENKÄNNING","GLÄDJEILSKA","POSPANA","filter_."
"1",1,NA,11,"dagu                                                        ",28,2,100,100,100,50,100,50,100,85.7142857142857,NA,NA,1.33333333333333,1,NA,"Not Selected"
"2",1,NA,12,"mini                                                        ",31,2,75,0,25,25,50,50,25,35.7142857142857,NA,NA,1.33333333333333,0.666666666666667,NA,"Not Selected"
"3",1,NA,13,"mahj                                                        ",27,2,100,25,100,75,100,50,75,75,NA,NA,1.6,1,NA,"Not Selected"
"4",1,NA,14,"chkl                                                        ",29,2,75,25,50,75,100,50,100,67.8571428571429,NA,NA,1.77777777777778,1.33333333333333,NA,"Not Selected"
"5",1,NA,15,"jola                                                        ",22,2,75,0,50,75,100,50,100,64.2857142857143,NA,NA,2,1.33333333333333,NA,"Not Selected"
"6",1,NA,16,"thlö                                                       ",21,2,75,75,25,25,75,100,75,64.2857142857143,NA,NA,1.09090909090909,1,NA,"Not Selected"
"7",1,NA,17,"jofo                                                        ",26,2,100,0,25,75,100,75,100,67.8571428571429,NA,NA,1.6,1,NA,"Not Selected"
"8",1,NA,18,"mafl                                                        ",29,2,75,100,50,75,100,75,100,82.1428571428571,NA,NA,1.23076923076923,1.33333333333333,NA,"Not Selected"
"9",1,NA,19,"alty                                                        ",29,2,100,50,50,50,100,100,100,78.5714285714286,NA,NA,1.33333333333333,1,NA,"Not Selected"
"10",1,NA,21,"emjo                                                        ",25,1,100,75,100,50,100,75,100,85.7142857142857,NA,NA,1.33333333333333,1,NA,"Not Selected"
"11",1,NA,22,"lian                                                        ",30,1,100,100,50,75,100,75,100,85.7142857142857,NA,NA,1.14285714285714,1,NA,"Not Selected"
"12",1,NA,23,"cest                                                        ",21,1,100,75,100,100,100,75,100,92.8571428571429,NA,NA,1.14285714285714,1,NA,"Not Selected"
"13",1,NA,24,"peli                                                        ",21,1,50,0,100,100,100,50,75,67.8571428571429,NA,NA,2,2,NA,"Not Selected"
"14",1,NA,25,"klsu                                                        ",20,1,50,50,100,50,50,100,75,67.8571428571429,NA,NA,0.8,1,NA,"Not Selected"
"15",1,NA,26,"soan                                                        ",25,1,100,75,75,100,100,75,100,89.2857142857143,NA,NA,1.14285714285714,1,NA,"Not Selected"
"16",1,NA,27,"elwi                                                        ",30,1,75,50,75,50,75,100,100,75,NA,NA,1.09090909090909,1,NA,"Not Selected"
"17",1,NA,28,"jepa                                                        ",20,1,75,25,50,100,100,75,100,75,NA,NA,1.45454545454545,1.33333333333333,NA,"Not Selected"
"18",1,NA,29,"suce                                                        ",28,1,100,100,75,100,100,100,100,96.4285714285714,NA,NA,1,1,NA,"Not Selected"
"19",1,NA,110,"arer                                                        ",22,2,50,50,25,75,100,100,75,67.8571428571429,NA,NA,1.45454545454545,2,NA,"Not Selected"
"20",1,NA,111,"hjfl                                                        ",25,2,100,100,100,50,100,75,100,89.2857142857143,NA,NA,1.23076923076923,1,NA,"Not Selected"
"21",1,NA,113,"bjsa                                                        ",29,2,100,0,0,25,100,75,75,53.5714285714286,NA,NA,2,1,NA,"Not Selected"
"22",1,NA,114,"roro                                                        ",26,2,50,75,50,75,100,75,100,75,NA,NA,1.45454545454545,2,NA,"Not Selected"
"23",1,NA,115,"anna                                                        ",27,2,50,50,100,75,75,50,100,71.4285714285714,NA,NA,1.33333333333333,1.5,NA,"Not Selected"
"24",1,NA,210,"nihe                                                        ",25,1,100,100,50,75,100,100,100,89.2857142857143,NA,NA,1.06666666666667,1,NA,"Not Selected"
"25",1,NA,210,"johe                                                        ",25,1,100,100,75,75,100,75,100,89.2857142857143,NA,NA,1.14285714285714,1,NA,"Not Selected"
"26",1,NA,211,"ligi                                                        ",22,1,75,0,100,50,100,75,100,71.4285714285714,NA,NA,2,1.33333333333333,NA,"Not Selected"
"27",1,NA,213,"hewe                                                        ",24,2,75,0,75,100,75,75,100,71.4285714285714,NA,NA,1.2,1,NA,"Not Selected"
"28",1,NA,214,"fafr                                                        ",21,1,100,25,100,75,100,100,75,82.1428571428571,NA,NA,1.33333333333333,1,NA,"Not Selected"
"29",2,"Psykoterapeuter",NA,"                                                            ",59,1,50,50,25,75,75,50,75,57.1428571428571,NA,NA,1.33333333333333,1.5,NA,"Not Selected"
"30",2,"Psykoterapeuter",NA,"                                                            ",46,1,75,100,100,50,50,100,100,82.1428571428571,NA,NA,0.615384615384615,0.666666666666667,NA,"Not Selected"
"31",2,"Psykoterapeuter",NA,"                                                            ",36,1,100,75,75,100,100,100,100,92.8571428571429,NA,NA,1.06666666666667,1,NA,"Not Selected"
"32",2,"Psykoterapeuter",NA,"                                                            ",50,1,75,50,50,50,75,75,75,64.2857142857143,NA,NA,1.2,1,NA,"Not Selected"
"33",2,"Psykoterapeuter",NA,"                                                            ",37,1,75,75,100,50,100,100,100,85.7142857142857,NA,NA,1.33333333333333,1.33333333333333,NA,"Not Selected"
"34",2,"Psykoterapeuter",NA,"                                                            ",40,1,100,75,100,75,50,25,50,67.8571428571429,NA,NA,0.727272727272727,0.5,NA,"Not Selected"
"35",2,"Psykoterapeuter",NA,"                                                            ",33,1,75,50,75,100,75,50,100,75,NA,NA,1.09090909090909,1,NA,"Not Selected"
