"","test_round","subj","stim","response","emotion","correct","rt"
"1",1,145,"img/Rafd090_09_Caucasian_male_happy_frontal.jpg",2,5,0,6.64664006
"2",1,145,"img/Rafd090_09_Caucasian_male_surprised_frontal.jpg",7,7,1,2.86507082
"3",1,145,"img/Rafd090_07_Caucasian_male_surprised_frontal.jpg",7,7,1,4.738451004
"4",1,145,"img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg",2,2,1,12.83563304
"5",1,145,"img/Rafd090_07_Caucasian_male_sad_frontal.jpg",6,6,1,3.227676868
"6",1,145,"img/Rafd090_08_Caucasian_female_surprised_frontal.jpg",7,7,1,2.758416891
"7",1,145,"img/Rafd090_12_Caucasian_female_disgusted_frontal.jpg",1,3,0,2.285869837
"8",1,145,"img/Rafd090_10_Caucasian_male_angry_frontal.jpg",1,1,1,4.530112982
"9",1,145,"img/Rafd090_05_Caucasian_male_surprised_frontal.jpg",7,7,1,3.556615114
"10",1,145,"img/Rafd090_05_Caucasian_male_contemptuous_frontal.jpg",6,2,0,5.986526966
"11",1,145,"img/Rafd090_03_Caucasian_male_contemptuous_frontal.jpg",5,2,0,3.37694788
"12",1,145,"img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.508239031
"13",1,145,"img/Rafd090_09_Caucasian_male_sad_frontal.jpg",2,6,0,4.766093016
"14",1,145,"img/Rafd090_03_Caucasian_male_happy_frontal.jpg",5,5,1,4.098075867
"15",1,145,"img/Rafd090_04_Caucasian_female_angry_frontal.jpg",7,1,0,12.80609798
"16",1,145,"img/Rafd090_05_Caucasian_male_fearful_frontal.jpg",7,4,0,1.165196896
"17",1,145,"img/Rafd090_08_Caucasian_female_happy_frontal.jpg",5,5,1,1.23781395
"18",1,145,"img/Rafd090_10_Caucasian_male_surprised_frontal.jpg",2,7,0,3.256569862
"19",1,145,"img/Rafd090_08_Caucasian_female_sad_frontal.jpg",3,6,0,2.829636812
"20",1,145,"img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg",6,2,0,2.673305988
"21",1,145,"img/Rafd090_12_Caucasian_female_sad_frontal.jpg",6,6,1,1.046639919
"22",1,145,"img/Rafd090_07_Caucasian_male_angry_frontal.jpg",1,1,1,2.575438023
"23",1,145,"img/Rafd090_04_Caucasian_female_surprised_frontal.jpg",4,7,0,3.244481087
"24",1,145,"img/Rafd090_05_Caucasian_male_angry_frontal.jpg",1,1,1,1.662812948
"25",1,145,"img/Rafd090_10_Caucasian_male_sad_frontal.jpg",3,6,0,3.839185953
"26",1,145,"img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg",6,2,0,5.444562912
"27",1,145,"img/Rafd090_14_Caucasian_female_sad_frontal.jpg",2,6,0,5.147006989
"28",1,145,"img/Rafd090_09_Caucasian_male_disgusted_frontal.jpg",3,3,1,2.312638998
"29",1,145,"img/Rafd090_03_Caucasian_male_sad_frontal.jpg",6,6,1,2.042560101
"30",1,145,"img/Rafd090_07_Caucasian_male_contemptuous_frontal.jpg",6,2,0,3.538870096
"31",1,145,"img/Rafd090_14_Caucasian_female_fearful_frontal.jpg",1,4,0,2.657756805
"32",1,145,"img/Rafd090_07_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.692008972
"33",1,145,"img/Rafd090_12_Caucasian_female_fearful_frontal.jpg",4,4,1,2.933644056
"34",1,145,"img/Rafd090_07_Caucasian_male_fearful_frontal.jpg",4,4,1,0.508718014
"35",1,145,"img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg",2,3,0,2.175589085
"36",1,145,"img/Rafd090_02_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.042108059
"37",1,145,"img/Rafd090_14_Caucasian_female_angry_frontal.jpg",6,1,0,3.033389807
"38",1,145,"img/Rafd090_14_Caucasian_female_disgusted_frontal.jpg",1,3,0,2.525561094
"39",1,145,"img/Rafd090_04_Caucasian_female_sad_frontal.jpg",6,6,1,1.573784113
"40",1,145,"img/Rafd090_02_Caucasian_female_fearful_frontal.jpg",3,4,0,4.732069969
"41",1,145,"img/Rafd090_09_Caucasian_male_fearful_frontal.jpg",4,4,1,2.141285896
"42",1,145,"img/Rafd090_12_Caucasian_female_angry_frontal.jpg",3,1,0,6.391386032
"43",1,145,"img/Rafd090_08_Caucasian_female_disgusted_frontal.jpg",1,3,0,1.746572018
"44",1,145,"img/Rafd090_03_Caucasian_male_fearful_frontal.jpg",4,4,1,1.832198858
"45",1,145,"img/Rafd090_09_Caucasian_male_happy_frontal.jpg",5,5,1,4.504456997
"46",1,145,"img/Rafd090_04_Caucasian_female_happy_frontal.jpg",5,5,1,2.288990974
"47",1,145,"img/Rafd090_02_Caucasian_female_happy_frontal.jpg",5,5,1,1.864128113
"48",1,145,"img/Rafd090_12_Caucasian_female_contemptuous_frontal.jpg",6,2,0,1.53559494
"49",1,145,"img/Rafd090_10_Caucasian_male_fearful_frontal.jpg",4,4,1,2.32722497
"50",1,145,"img/Rafd090_14_Caucasian_female_happy_frontal.jpg",5,5,1,1.537743092
"51",1,145,"img/Rafd090_14_Caucasian_female_surprised_frontal.jpg",7,7,1,1.401599884
"52",1,145,"img/Rafd090_08_Caucasian_female_angry_frontal.jpg",1,1,1,7.812489033
"53",1,145,"img/Rafd090_08_Caucasian_female_fearful_frontal.jpg",2,4,0,2.702826023
"54",1,145,"img/Rafd090_12_Caucasian_female_surprised_frontal.jpg",7,7,1,1.870813131
"55",1,145,"img/Rafd090_04_Caucasian_female_fearful_frontal.jpg",1,4,0,4.274957895
"56",1,145,"img/Rafd090_09_Caucasian_male_angry_frontal.jpg",1,1,1,2.730046988
"57",1,145,"img/Rafd090_03_Caucasian_male_angry_frontal.jpg",6,1,0,1.336877823
"58",1,145,"img/Rafd090_02_Caucasian_female_surprised_frontal.jpg",7,7,1,1.18453598
"59",1,145,"img/Rafd090_09_Caucasian_male_contemptuous_frontal.jpg",6,2,0,1.158616066
"60",1,145,"img/Rafd090_08_Caucasian_female_contemptuous_frontal.jpg",6,2,0,1.542594194
"61",1,145,"img/Rafd090_10_Caucasian_male_happy_frontal.jpg",5,5,1,4.098608971
"62",1,145,"img/Rafd090_12_Caucasian_female_happy_frontal.jpg",5,5,1,0.523200035
"63",1,145,"img/Rafd090_02_Caucasian_female_contemptuous_frontal.jpg",6,2,0,1.179498911
"64",1,145,"img/Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,1.221225977
"65",1,145,"img/Rafd090_02_Caucasian_female_angry_frontal.jpg",2,1,0,1.814368963
"66",1,145,"img/Rafd090_05_Caucasian_male_sad_frontal.jpg",6,6,1,2.915308952
"67",1,145,"img/Rafd090_05_Caucasian_male_happy_frontal.jpg",5,5,1,2.086580992
"68",1,145,"img/Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.147909164
"69",1,145,"img/Rafd090_03_Caucasian_male_disgusted_frontal.jpg",1,3,0,1.651571035
"70",1,145,"img/Rafd090_02_Caucasian_female_sad_frontal.jpg",3,6,0,1.910259008
"71",1,206,"img\Rafd090_12_Caucasian_female_happy_frontal.jpg",5,5,1,2.068349725
"72",1,206,"img\Rafd090_09_Caucasian_male_surprised_frontal.jpg",7,7,1,5.614084131
"73",1,206,"img\Rafd090_02_Caucasian_female_happy_frontal.jpg",5,5,1,1.835268199
"74",1,206,"img\Rafd090_09_Caucasian_male_disgusted_frontal.jpg",2,3,0,4.039631304
"75",1,206,"img\Rafd090_14_Caucasian_female_fearful_frontal.jpg",7,4,0,2.116122636
"76",1,206,"img\Rafd090_07_Caucasian_male_disgusted_frontal.jpg",3,3,1,1.629229793
"77",1,206,"img\Rafd090_03_Caucasian_male_happy_frontal.jpg",5,5,1,1.192487367
"78",1,206,"img\Rafd090_03_Caucasian_male_sad_frontal.jpg",6,6,1,3.830272085
"79",1,206,"img\Rafd090_02_Caucasian_female_angry_frontal.jpg",2,1,0,3.147346406
"80",1,206,"img\Rafd090_04_Caucasian_female_surprised_frontal.jpg",7,7,1,1.338542312
"81",1,206,"img\Rafd090_07_Caucasian_male_surprised_frontal.jpg",7,7,1,2.522316501
"82",1,206,"img\Rafd090_04_Caucasian_female_happy_frontal.jpg",5,5,1,1.130804092
"83",1,206,"img\Rafd090_08_Caucasian_female_disgusted_frontal.jpg",3,3,1,2.282689852
"84",1,206,"img\Rafd090_10_Caucasian_male_surprised_frontal.jpg",7,7,1,1.077902259
"85",1,206,"img\Rafd090_10_Caucasian_male_disgusted_frontal.jpg",3,3,1,4.167709114
"86",1,206,"img\Rafd090_03_Caucasian_male_angry_frontal.jpg",1,1,1,5.65474035
"87",1,206,"img\Rafd090_07_Caucasian_male_fearful_frontal.jpg",4,4,1,4.618486954
"88",1,206,"img\Rafd090_08_Caucasian_female_happy_frontal.jpg",5,5,1,1.591592156
"89",1,206,"img\Rafd090_09_Caucasian_male_angry_frontal.jpg",2,1,0,2.246074028
"90",1,206,"img\Rafd090_04_Caucasian_female_angry_frontal.jpg",2,1,0,4.649213006
"91",1,206,"img\Rafd090_09_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.93246698
"92",1,206,"img\Rafd090_12_Caucasian_female_angry_frontal.jpg",3,1,0,2.748944132
"93",1,206,"img\Rafd090_12_Caucasian_female_sad_frontal.jpg",6,6,1,2.204002538
"94",1,206,"img\Rafd090_04_Caucasian_female_disgusted_frontal.jpg",2,3,0,3.105249782
"95",1,206,"img\Rafd090_10_Caucasian_male_fearful_frontal.jpg",7,4,0,1.106962009
"96",1,206,"img\Rafd090_02_Caucasian_female_sad_frontal.jpg",1,6,0,6.844104564
"97",1,206,"img\Rafd090_14_Caucasian_female_disgusted_frontal.jpg",2,3,0,3.103929463
"98",1,206,"img\Rafd090_14_Caucasian_female_happy_frontal.jpg",5,5,1,0.673760087
"99",1,206,"img\Rafd090_03_Caucasian_male_surprised_frontal.jpg",7,7,1,0.915433464
"100",1,206,"img\Rafd090_05_Caucasian_male_contemptuous_frontal.jpg",5,2,0,0.924120576
"101",1,206,"img\Rafd090_08_Caucasian_female_angry_frontal.jpg",1,1,1,7.229251514
