test_round,subj,stim,response,emotion,correct,rt
1,145,img/Rafd090_09_Caucasian_male_surprised_frontal.jpg,7,7,1,2.8650708198547363
1,145,img/Rafd090_07_Caucasian_male_surprised_frontal.jpg,7,7,1,4.73845100402832
1,145,img/Rafd090_10_Caucasian_male_contemptuous_frontal.jpg,2,2,1,12.835633039474487
1,145,img/Rafd090_07_Caucasian_male_sad_frontal.jpg,6,6,1,3.2276768684387207
1,145,img/Rafd090_08_Caucasian_female_surprised_frontal.jpg,7,7,1,2.7584168910980225
1,145,img/Rafd090_12_Caucasian_female_disgusted_frontal.jpg,1,3,0,2.285869836807251
1,145,img/Rafd090_10_Caucasian_male_angry_frontal.jpg,1,1,1,4.530112981796265
1,145,img/Rafd090_05_Caucasian_male_surprised_frontal.jpg,7,7,1,3.556615114212036
1,145,img/Rafd090_05_Caucasian_male_contemptuous_frontal.jpg,6,2,0,5.986526966094971
1,145,img/Rafd090_03_Caucasian_male_contemptuous_frontal.jpg,5,2,0,3.3769478797912598
1,145,img/Rafd090_05_Caucasian_male_disgusted_frontal.jpg,3,3,1,1.5082390308380127
1,145,img/Rafd090_09_Caucasian_male_sad_frontal.jpg,2,6,0,4.766093015670776
1,145,img/Rafd090_03_Caucasian_male_happy_frontal.jpg,5,5,1,4.098075866699219
1,145,img/Rafd090_04_Caucasian_female_angry_frontal.jpg,7,1,0,12.806097984313965
1,145,img/Rafd090_05_Caucasian_male_fearful_frontal.jpg,7,4,0,1.1651968955993652
1,145,img/Rafd090_08_Caucasian_female_happy_frontal.jpg,5,5,1,1.237813949584961
1,145,img/Rafd090_10_Caucasian_male_surprised_frontal.jpg,2,7,0,3.2565698623657227
1,145,img/Rafd090_08_Caucasian_female_sad_frontal.jpg,3,6,0,2.829636812210083
1,145,img/Rafd090_04_Caucasian_female_contemptuous_frontal.jpg,6,2,0,2.6733059883117676
1,145,img/Rafd090_12_Caucasian_female_sad_frontal.jpg,6,6,1,1.0466399192810059
1,145,img/Rafd090_07_Caucasian_male_angry_frontal.jpg,1,1,1,2.5754380226135254
1,145,img/Rafd090_04_Caucasian_female_surprised_frontal.jpg,4,7,0,3.244481086730957
1,145,img/Rafd090_05_Caucasian_male_angry_frontal.jpg,1,1,1,1.6628129482269287
1,145,img/Rafd090_10_Caucasian_male_sad_frontal.jpg,3,6,0,3.839185953140259
1,145,img/Rafd090_14_Caucasian_female_contemptuous_frontal.jpg,6,2,0,5.444562911987305
1,145,img/Rafd090_14_Caucasian_female_sad_frontal.jpg,2,6,0,5.147006988525391
1,145,img/Rafd090_09_Caucasian_male_disgusted_frontal.jpg,3,3,1,2.312638998031616
1,145,img/Rafd090_03_Caucasian_male_sad_frontal.jpg,6,6,1,2.04256010055542
1,145,img/Rafd090_07_Caucasian_male_contemptuous_frontal.jpg,6,2,0,3.538870096206665
1,145,img/Rafd090_14_Caucasian_female_fearful_frontal.jpg,1,4,0,2.657756805419922
1,145,img/Rafd090_07_Caucasian_male_disgusted_frontal.jpg,3,3,1,1.6920089721679688
1,145,img/Rafd090_12_Caucasian_female_fearful_frontal.jpg,4,4,1,2.9336440563201904
1,145,img/Rafd090_07_Caucasian_male_fearful_frontal.jpg,4,4,1,0.5087180137634277
1,145,img/Rafd090_04_Caucasian_female_disgusted_frontal.jpg,2,3,0,2.175589084625244
1,145,img/Rafd090_02_Caucasian_female_disgusted_frontal.jpg,3,3,1,2.0421080589294434
1,145,img/Rafd090_14_Caucasian_female_angry_frontal.jpg,6,1,0,3.0333898067474365
1,145,img/Rafd090_14_Caucasian_female_disgusted_frontal.jpg,1,3,0,2.5255610942840576
1,145,img/Rafd090_04_Caucasian_female_sad_frontal.jpg,6,6,1,1.5737841129302979
1,145,img/Rafd090_02_Caucasian_female_fearful_frontal.jpg,3,4,0,4.732069969177246
1,145,img/Rafd090_09_Caucasian_male_fearful_frontal.jpg,4,4,1,2.1412858963012695
1,145,img/Rafd090_12_Caucasian_female_angry_frontal.jpg,3,1,0,6.391386032104492
1,145,img/Rafd090_08_Caucasian_female_disgusted_frontal.jpg,1,3,0,1.7465720176696777
1,145,img/Rafd090_03_Caucasian_male_fearful_frontal.jpg,4,4,1,1.8321988582611084
1,145,img/Rafd090_09_Caucasian_male_happy_frontal.jpg,5,5,1,4.504456996917725
1,145,img/Rafd090_04_Caucasian_female_happy_frontal.jpg,5,5,1,2.2889909744262695
1,145,img/Rafd090_02_Caucasian_female_happy_frontal.jpg,5,5,1,1.8641281127929688
1,145,img/Rafd090_12_Caucasian_female_contemptuous_frontal.jpg,6,2,0,1.5355949401855469
1,145,img/Rafd090_10_Caucasian_male_fearful_frontal.jpg,4,4,1,2.3272249698638916
1,145,img/Rafd090_14_Caucasian_female_happy_frontal.jpg,5,5,1,1.537743091583252
1,145,img/Rafd090_14_Caucasian_female_surprised_frontal.jpg,7,7,1,1.4015998840332031
1,145,img/Rafd090_08_Caucasian_female_angry_frontal.jpg,1,1,1,7.812489032745361
1,145,img/Rafd090_08_Caucasian_female_fearful_frontal.jpg,2,4,0,2.7028260231018066
1,145,img/Rafd090_12_Caucasian_female_surprised_frontal.jpg,7,7,1,1.8708131313323975
1,145,img/Rafd090_04_Caucasian_female_fearful_frontal.jpg,1,4,0,4.274957895278931
1,145,img/Rafd090_09_Caucasian_male_angry_frontal.jpg,1,1,1,2.7300469875335693
